gene,mean_pdac_val,mean_normal_val,log2fc_val,p_value_val,auc_val,fdr_val
SHH,4.305188840579711,4.089671803278689,0.215517037301022,0.0012181203527329486,0.6436208125445474,0.00365034627950819
SHISA2,5.095567246376811,4.602122131147541,0.49344511522927004,5.141746604409284e-08,0.7778569731527677,9.458755465202406e-07
SHISA3,3.1282339130434793,3.161056393442623,-0.03282248039914348,0.671798515389046,0.4670943216916132,0.7281487782891947
SHISA4,4.730410144927537,4.657102950819671,0.07330719410786557,0.11146495782630923,0.5801853171774769,0.1600943168952153
SHISA5,6.70593956521739,6.392537868852459,0.31340169636493087,3.602905621015765e-05,0.7011166547873604,0.00020346956842794568
SHISA6,3.6633389855072465,3.7216018032786886,-0.058262817771442155,0.0730089697492999,0.3998574483250178,0.11127692943426136
SHISA7,4.117344420289856,4.227237950819672,-0.10989353052981521,0.004431800820794654,0.35661677358042293,0.010585541399383608
SHISA9,4.705392028985507,4.973873934426229,-0.2684819054407219,8.35850631570912e-07,0.24946543121881684,9.183504447660779e-06
SHKBP1,5.45411231884058,5.199656885245902,0.2544554335946776,2.6293695767531884e-06,0.7272511285340937,2.382032592563135e-05
SHMT1,3.8659017391304342,4.015108852459017,-0.1492071133285826,0.00606503842033399,0.33594678070800665,0.01376590985157617
SHMT2,5.778620869565218,5.900113934426229,-0.12149306486101086,0.14993861305236778,0.4193395105725826,0.20643004177070085
SHOC2,7.038399710144928,6.9052139344262295,0.13318577571869827,0.0343896272090693,0.5856497980517937,0.059026575687576216
SHOX,3.4066549275362314,3.4858501639344257,-0.07919523639819426,0.024489890595398224,0.39011641720123547,0.04427085512159312
SHOX2,4.615725652173913,4.5642014754098374,0.051524176764075946,0.23611492450112645,0.5735329056783084,0.30441552270680194
SHPK,4.893853768115942,5.071182295081967,-0.17732852696602475,0.0005135544829119093,0.322047992397244,0.0017887219783539827
SHPRH,5.585260434782609,5.659300819672131,-0.07404038488952214,0.12825233797941205,0.4072226181990972,0.18051164625683783
SHQ1,5.449288695652173,5.37708262295082,0.07220607270135293,0.15940781726883907,0.5820860061772393,0.21744643813615575
SHROOM1,5.178130144927537,5.264611967213115,-0.08648182228557832,0.04898412968456661,0.41720123544784987,0.07951871011851858
SHROOM2,3.878647971014492,4.057432786885246,-0.17878481587075434,0.0008417118757969455,0.3352340223330958,0.0026822945119589453
SHROOM3,4.875278985507247,4.302585901639344,0.572693083867903,4.152446767886815e-06,0.7224994060346877,3.450099786246493e-05
SHROOM4,4.05683304347826,4.0186559016393435,0.03817714183891674,0.5174813497242936,0.5488239486813971,0.5880015586534336
SHTN1,6.054136376811594,6.176085409836066,-0.12194903302447191,0.20220152410180336,0.41815157994773106,0.2671137951795253
SI,2.558961884057971,2.591565737704918,-0.03260385364694729,0.8434264443900223,0.42908054169636495,0.8749641721363768
SIAE,5.312955507246377,5.346640327868854,-0.033684820622476686,0.5618551256665301,0.4706581135661677,0.6293771674249651
SIAH1,5.388680579710144,5.210301803278688,0.1783787764314555,0.0007472437063351907,0.6590639106676169,0.0024296352174614467
SIAH2,4.6905843478260865,4.828669672131147,-0.13808532430506038,0.008176667924587945,0.36089332382988837,0.01767620106944047
SIAH3,3.2876894202898557,3.4227454098360655,-0.1350559895462098,0.0006022925392474913,0.3509147065811357,0.0020374864979820005
SIDT1,4.487738695652173,4.248971475409836,0.23876722024233743,0.029774824991833874,0.6122594440484675,0.0523040154835912
SIDT2,6.2935449275362325,7.064034918032787,-0.7704899904965545,8.35644716078272e-09,0.2028985507246377,2.1512742928846426e-07
SIGIRR,5.063082463768117,5.127366393442623,-0.06428392967450591,0.16897018073548614,0.4250415775718698,0.22851129235696907
SIGLEC1,4.503333913043478,4.53339950819672,-0.030065595153242697,0.5783738270147041,0.4896650035637919,0.6447039098230776
SIGLEC10,4.168519855072464,4.160437049180328,0.008082805892136058,0.8482845850017116,0.5142551674982181,0.8790466017608266
SIGLEC11,3.2529002898550723,3.427983606557376,-0.17508331670230382,0.0006932386384679283,0.33808505583273935,0.002284489701033603
SIGLEC12,4.262400144927536,4.334934426229508,-0.07253428130197204,0.1449004402242619,0.4252791636968401,0.20055656696691884
